Section,Name,Description,Price,Note
Beverages & Beer,Beer,"Draft: XX Lager, XX Amber, Stella Artois, Deschutes. Bottled: Corona, Pacifico, Modelo, Victoria, Bohemia & more.",$9 - $11,
Beverages & Beer,Michelada,"Beer, lime juice, worcestershire, salt, tomato juice, chile sauce.",$14,
Beverages & Beer,Wine,"Reds: Poppy Pinot Noir, Trefethen Merlot, William Hill & J. Lohr Cabernet. Whites: Trefethen Chardonnay, Dry Creek Sauvignon Blanc. Rose: Rabble.",,
Catering,Kids Pinata Package,"20 chicken taquitos & 20 cheese enchiladas served with rice, refried beans, chips & salsa.",$235,Serves 20 kids
Catering,El Tradicional,"12 chicken enchiladas & 12 taquitos served with mexican rice, refried beans, guacamole, chips, lettuce, crema & salsa.",$235,Serves 10-12 guests
Catering,Fajita Trio Package,"A combination of chicken, beef & shrimp fajitas. Served with refried beans, rice, guacamole, crema, salsa & tortillas.",$265,Serves 15 guests
Catering,Ensaladas Familiares,,,Family size salads - serves 10-12 guests
Catering,> Amigo Salad,,$80,
Catering,> Fajita Salad,,$120,
Catering,> Pollo Asado Caesar Salad,,$120,
Catering,> Ceviche Salad,,$140,
